"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Mookie Betts","Dodgers","24.9%","59.3%","40.5%","72.2%","95.6%","87.8%","45.5%","68.3%","4.9%","13611"
"Andrew McCutchen","Phillies","24.9%","61.2%","40.7%","66.4%","88.4%","80.8%","43.4%","55.2%","7.8%","9847"
"Darin Ruf","Giants","25.0%","60.9%","41.4%","63.2%","78.6%","73.6%","45.7%","59.0%","11.0%","9929"
"Victor Caratini","Cubs","25.0%","62.9%","39.9%","61.0%","85.8%","76.4%","39.4%","58.3%","9.4%","14968"
"Dexter Fowler","Cardinals","25.1%","71.4%","45.2%","59.4%","75.7%","70.6%","43.5%","58.4%","13.3%","4062"
"Jorge Soler","Royals","25.1%","58.7%","37.9%","47.8%","78.2%","65.7%","38.0%","55.7%","13.0%","14221"
"Michael Brantley","Astros","25.2%","59.4%","39.8%","74.0%","92.9%","86.1%","42.7%","58.8%","5.5%","4106"
"Brock Holt","- - -","25.2%","63.5%","41.8%","68.2%","89.0%","81.9%","43.3%","56.6%","7.6%","9345"
"Willie Calhoun","Rangers","25.2%","67.6%","43.9%","78.0%","90.4%","86.4%","44.2%","56.5%","6.0%","17838"
"Danny Jansen","Blue Jays","25.2%","73.5%","44.3%","64.4%","84.9%","77.9%","39.6%","55.8%","9.8%","16535"
"Tommy La Stella","- - -","25.2%","54.8%","38.1%","82.8%","94.6%","90.2%","43.5%","57.5%","3.7%","12371"
"Tyler Wade","Yankees","25.2%","60.4%","42.4%","68.6%","90.5%","83.8%","48.7%","61.0%","6.9%","15730"
"Paul Goldschmidt","Cardinals","25.3%","62.6%","40.5%","68.7%","85.9%","79.5%","40.7%","55.8%","8.3%","9218"
"Josh Donaldson","Twins","25.3%","64.6%","39.4%","53.4%","77.9%","67.8%","35.9%","50.0%","12.7%","5038"
"Phillip Ervin","- - -","25.4%","65.8%","41.5%","62.9%","85.8%","77.4%","39.8%","68.5%","9.4%","14738"
"Gavin Lux","Dodgers","25.5%","62.5%","41.5%","65.0%","85.3%","78.3%","43.3%","65.2%","9.0%","19955"
"Michael A. Taylor","Nationals","25.6%","74.7%","47.8%","56.4%","78.2%","71.8%","45.3%","71.7%","13.5%","11489"
"Gleyber Torres","Yankees","25.6%","68.1%","41.9%","63.2%","81.7%","74.7%","38.3%","52.5%","10.6%","16997"
