"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Ildemaro Vargas","Diamondbacks","30.9%","62.0%","44.4%","81.5%","93.3%","88.7%","43.5%","57.3%","5.0%","13324"
"Eric Thames","Brewers","30.9%","72.9%","47.2%","51.7%","80.8%","69.1%","38.8%","60.3%","14.6%","3711"
"Jeimer Candelario","Tigers","31.0%","62.4%","43.7%","61.3%","86.0%","75.5%","40.3%","63.0%","10.7%","13621"
"Nick Ahmed","Diamondbacks","31.0%","73.4%","49.3%","64.1%","88.5%","79.8%","43.2%","62.9%","10.0%","12147"
"Oscar Mercado","Indians","31.1%","77.7%","50.7%","55.4%","89.8%","77.7%","42.2%","61.2%","11.3%","16375"
"Paul DeJong","Cardinals","31.1%","71.4%","48.7%","60.7%","86.5%","77.2%","43.9%","61.6%","11.1%","18015"
"Alex Verdugo","Dodgers","31.1%","62.2%","44.6%","72.1%","93.7%","85.2%","43.5%","59.2%","6.6%","17027"
"Jose Rondon","- - -","31.1%","65.2%","45.6%","68.3%","81.8%","76.5%","42.6%","57.3%","10.7%","14140"
"Carlos Correa","Astros","31.1%","62.6%","44.3%","66.4%","84.4%","77.1%","42.0%","56.4%","10.2%","14162"
"Bryan Reynolds","Pirates","31.1%","74.2%","47.9%","59.0%","87.1%","75.9%","38.9%","60.6%","11.5%","19326"
"Martin Maldonado","- - -","31.3%","63.5%","45.3%","59.5%","89.6%","77.8%","43.4%","65.2%","10.0%","6887"
"Ender Inciarte","Braves","31.3%","70.0%","49.0%","73.2%","87.2%","82.4%","45.8%","54.3%","8.6%","4922"
"Nick Senzel","Reds","31.3%","73.7%","48.9%","67.3%","83.5%","77.5%","41.6%","62.3%","11.0%","19293"
"Wilmer Flores","Diamondbacks","31.3%","64.4%","45.9%","85.1%","92.7%","89.7%","44.0%","63.5%","4.7%","5827"
"Cheslor Cuthbert","Royals","31.4%","72.8%","48.7%","62.1%","87.5%","78.0%","41.8%","67.6%","10.7%","10473"
"Paul Goldschmidt","Cardinals","31.4%","67.7%","46.4%","69.9%","80.1%","76.0%","41.3%","64.5%","11.1%","9218"
"Kolten Wong","Cardinals","31.4%","69.6%","47.4%","70.7%","92.1%","83.8%","41.8%","57.0%","7.7%","12532"
"Manny Machado","Padres","31.4%","69.8%","46.6%","62.5%","87.6%","77.4%","39.6%","61.6%","10.5%","11493"
"Trevor Story","Rockies","31.5%","72.0%","48.0%","60.1%","84.8%","75.2%","40.8%","57.9%","11.9%","12564"
"A.J. Pollock","Dodgers","31.6%","67.0%","46.6%","54.8%","88.7%","75.4%","42.2%","59.4%","11.4%","9256"
"Nicky Lopez","Royals","31.6%","69.5%","49.5%","79.0%","91.2%","87.1%","47.4%","62.7%","6.4%","19339"
"Derek Dietrich","Reds","31.6%","73.2%","48.9%","58.1%","79.9%","71.7%","41.5%","57.2%","13.8%","10542"
"David Bote","Cubs","31.6%","66.9%","45.7%","53.8%","81.2%","69.8%","39.8%","56.7%","13.8%","14593"
"Vladimir Guerrero Jr.","Blue Jays","31.6%","71.9%","46.8%","63.7%","87.2%","77.3%","37.8%","64.2%","10.6%","19611"
"Bryce Harper","Phillies","31.6%","77.3%","48.3%","52.2%","79.7%","68.3%","36.4%","59.5%","15.3%","11579"
"Chad Pinder","Athletics","31.6%","77.8%","51.6%","62.2%","84.5%","76.8%","43.2%","63.0%","12.0%","15191"
"Jake Cave","Twins","31.7%","72.9%","47.7%","48.6%","84.3%","69.8%","38.8%","57.0%","14.4%","14477"
"Enrique Hernandez","Dodgers","31.7%","70.5%","47.2%","58.9%","87.8%","76.1%","40.0%","60.4%","11.3%","10472"
"Fernando Tatis Jr.","Padres","31.8%","72.6%","47.6%","46.3%","81.5%","67.1%","38.8%","60.5%","15.7%","19709"
"Ketel Marte","Diamondbacks","31.8%","71.6%","47.6%","73.3%","90.6%","83.6%","39.7%","58.1%","7.8%","13613"
"J.D. Martinez","Red Sox","31.8%","75.7%","49.5%","56.2%","86.8%","75.0%","40.2%","61.6%","12.3%","6184"
"Andrew Knapp","Phillies","31.9%","77.3%","51.8%","55.7%","80.3%","71.8%","43.9%","61.3%","14.6%","14942"
"Neil Walker","Marlins","31.9%","70.4%","46.5%","61.6%","85.3%","75.2%","37.9%","60.4%","11.5%","7539"
"Tom Murphy","Mariners","31.9%","64.0%","44.9%","53.4%","83.6%","70.9%","40.6%","56.6%","13.1%","13499"
"Victor Robles","Nationals","31.9%","71.4%","48.9%","63.9%","86.9%","78.3%","43.0%","62.1%","10.6%","18363"
"Trea Turner","Nationals","31.9%","68.6%","46.7%","60.8%","89.8%","78.0%","40.4%","62.4%","10.3%","16252"
"Hunter Renfroe","Padres","31.9%","66.7%","45.9%","57.4%","81.3%","71.4%","40.3%","62.3%","13.1%","15464"
"Brandon Crawford","Giants","32.0%","78.1%","51.3%","60.2%","82.4%","74.3%","41.7%","62.5%","13.2%","5343"
"Miguel Rojas","Marlins","32.2%","65.9%","47.0%","74.4%","91.1%","84.7%","44.0%","66.9%","7.2%","7802"
"Andrelton Simmons","Angels","32.2%","68.6%","47.7%","73.5%","95.1%","86.7%","42.6%","60.4%","6.3%","10847"
"Sandy Leon","Red Sox","32.3%","62.4%","45.1%","72.3%","88.1%","81.6%","42.5%","56.5%","8.3%","5273"
"Niko Goodrum","Tigers","32.4%","71.1%","48.1%","54.4%","80.6%","70.1%","40.6%","58.9%","14.4%","12092"
"Tommy Edman","Cardinals","32.4%","67.7%","47.7%","72.2%","89.1%","82.6%","43.4%","62.5%","8.3%","19470"
"Kurt Suzuki","Nationals","32.4%","75.4%","51.9%","67.9%","89.4%","82.1%","45.2%","64.1%","9.3%","8259"
"Justin Bour","Angels","32.5%","61.5%","44.1%","59.6%","82.1%","72.2%","40.1%","52.4%","12.3%","9744"
"Evan Longoria","Giants","32.6%","66.6%","46.8%","67.6%","82.9%","76.7%","41.7%","60.4%","10.9%","9368"
"Jose Altuve","Astros","32.7%","68.1%","46.8%","72.4%","86.9%","80.8%","39.9%","65.3%","9.0%","5417"
"Yoan Moncada","White Sox","32.7%","66.9%","47.3%","51.2%","83.3%","70.6%","42.7%","64.6%","13.9%","17232"
"JaCoby Jones","Tigers","32.7%","66.1%","46.6%","58.8%","87.4%","75.7%","41.5%","67.3%","11.3%","14818"
"Ryan Cordell","White Sox","32.7%","69.0%","48.3%","56.5%","79.7%","70.7%","42.8%","64.4%","14.2%","15181"
"Shohei Ohtani","Angels","32.8%","74.1%","49.1%","66.1%","81.0%","75.0%","39.6%","58.4%","12.3%","19755"
"Albert Pujols","Angels","32.9%","60.8%","44.5%","73.5%","90.5%","83.2%","41.6%","56.3%","7.5%","1177"
"Freddie Freeman","Braves","32.9%","82.6%","51.9%","69.0%","82.7%","77.4%","38.3%","55.1%","11.7%","5361"
"Andrew Benintendi","Red Sox","32.9%","78.6%","51.2%","68.9%","82.6%","77.3%","39.9%","61.8%","11.6%","17901"
"Greg Allen","Indians","33.0%","69.3%","48.7%","61.3%","86.6%","76.9%","43.3%","60.5%","11.2%","16623"
"Rougned Odor","Rangers","33.1%","67.6%","47.4%","57.4%","84.0%","73.1%","41.4%","57.1%","12.7%","12282"
"Josh Reddick","Astros","33.1%","74.2%","50.8%","76.5%","92.8%","86.8%","43.1%","60.2%","6.7%","3892"
"Howie Kendrick","Nationals","33.1%","66.3%","47.5%","71.9%","92.5%","84.3%","43.2%","66.2%","7.4%","4229"
"Ramon Laureano","Athletics","33.1%","67.5%","48.6%","52.8%","86.2%","73.7%","45.0%","64.4%","12.8%","17128"
"Yolmer Sanchez","White Sox","33.2%","67.8%","48.1%","69.6%","85.3%","79.1%","42.9%","61.8%","10.0%","11602"
"Tim Lopes","Mariners","33.2%","61.8%","46.4%","62.0%","84.4%","75.7%","46.2%","73.4%","11.3%","14137"
"Bubba Starling","Royals","33.2%","69.9%","49.3%","45.3%","87.6%","71.5%","43.7%","65.0%","14.0%","13356"
"Willie Calhoun","Rangers","33.3%","70.9%","49.1%","76.8%","90.8%","85.4%","42.2%","57.6%","7.2%","17838"
"Charlie Blackmon","Rockies","33.3%","70.8%","49.7%","70.2%","88.6%","81.7%","43.7%","62.0%","9.1%","7859"
"Orlando Arcia","Brewers","33.3%","66.9%","47.6%","66.5%","84.9%","77.5%","42.4%","60.3%","10.7%","13185"
"Matt Beaty","Dodgers","33.4%","65.6%","46.2%","70.4%","93.7%","83.6%","39.9%","56.3%","7.6%","17710"
"Trey Mancini","Orioles","33.4%","69.7%","48.1%","64.1%","83.4%","75.4%","40.6%","63.0%","11.8%","15149"
"Mac Williamson","- - -","33.4%","64.9%","47.2%","53.4%","77.6%","67.9%","43.6%","63.2%","15.1%","14158"
"Wilmer Difo","Nationals","33.4%","79.3%","53.4%","67.3%","78.5%","74.6%","43.7%","57.6%","13.6%","14320"
"Robinson Chirinos","Astros","33.5%","68.9%","47.1%","50.8%","81.8%","68.3%","38.4%","62.7%","14.9%","3142"
"Chris Owings","- - -","33.5%","59.0%","44.6%","48.6%","80.5%","67.1%","43.7%","65.8%","14.7%","10030"
"Josh Phegley","Athletics","33.6%","65.4%","47.2%","61.6%","89.6%","78.2%","42.8%","62.6%","10.3%","9308"
"Scott Kingery","Phillies","33.7%","73.3%","50.4%","53.9%","80.0%","69.9%","42.2%","63.6%","15.2%","17975"
"Grayson Greiner","Tigers","33.7%","65.6%","46.2%","53.4%","82.4%","69.5%","39.2%","64.3%","14.0%","17062"
"Alex Dickerson","- - -","33.7%","71.2%","49.9%","63.8%","88.2%","78.8%","43.0%","58.4%","10.6%","12649"
"Anthony Rizzo","Cubs","33.8%","65.3%","45.5%","74.5%","88.6%","82.0%","37.4%","51.4%","8.2%","3473"
"Gregory Polanco","Pirates","33.8%","77.2%","50.4%","54.9%","82.0%","70.8%","38.1%","56.9%","14.7%","12907"
"Cesar Puello","- - -","33.8%","59.9%","44.4%","53.9%","84.9%","70.9%","40.6%","59.9%","12.9%","7216"
"Daniel Murphy","Rockies","33.9%","68.7%","48.2%","78.6%","94.2%","87.7%","41.1%","60.5%","5.9%","4316"
"Mike Moustakas","Brewers","33.9%","74.1%","49.8%","66.3%","86.0%","77.9%","39.3%","52.2%","11.0%","4892"
"Ian Happ","Cubs","34.0%","75.3%","51.9%","54.1%","82.1%","71.7%","43.4%","61.5%","14.7%","17919"
"Josh Naylor","Padres","34.0%","61.6%","44.5%","68.9%","89.2%","79.5%","37.9%","58.8%","9.1%","18839"
"Brandon Lowe","Rays","34.1%","79.5%","54.2%","43.0%","76.6%","64.8%","44.2%","63.6%","19.1%","18882"
"Whit Merrifield","Royals","34.1%","69.1%","49.1%","73.4%","87.2%","81.7%","42.9%","60.4%","8.9%","11281"
"Adam Haseley","Phillies","34.1%","72.5%","49.7%","55.1%","86.1%","73.4%","40.6%","65.3%","13.2%","19878"
"Yasiel Puig","- - -","34.2%","77.8%","52.6%","59.3%","83.2%","74.2%","42.1%","60.6%","13.6%","14225"
"Franmil Reyes","- - -","34.3%","77.6%","51.5%","48.3%","76.8%","65.4%","39.8%","62.6%","17.8%","14566"
"Ronald Guzman","Rangers","34.3%","70.3%","49.1%","54.8%","82.7%","71.2%","41.0%","62.4%","14.1%","14388"
"Jose Osuna","Pirates","34.3%","75.3%","51.1%","70.6%","85.5%","79.6%","40.8%","66.0%","10.4%","12937"
"Gerardo Parra","- - -","34.4%","72.1%","49.5%","66.5%","87.2%","78.6%","40.2%","62.1%","10.6%","8553"
"Adam Engel","White Sox","34.4%","69.1%","49.5%","52.9%","80.4%","69.6%","43.4%","66.1%","15.1%","15082"
"Steve Wilkerson","Orioles","34.4%","62.5%","45.5%","64.7%","83.7%","75.0%","39.3%","59.6%","11.4%","16041"
"Starlin Castro","Marlins","34.5%","69.4%","49.2%","70.2%","90.9%","82.5%","42.1%","60.2%","8.6%","4579"
"Dominic Smith","Mets","34.5%","70.1%","48.5%","65.8%","82.5%","75.3%","39.2%","54.8%","12.0%","15653"
"Jon Jay","White Sox","34.6%","67.9%","50.0%","75.8%","91.5%","85.7%","46.3%","61.5%","7.2%","5227"
"Pete Alonso","Mets","34.6%","68.1%","46.6%","62.0%","83.4%","73.2%","35.9%","59.0%","12.5%","19251"
"J.T. Realmuto","Phillies","34.8%","73.1%","50.7%","66.2%","86.2%","78.2%","41.5%","58.3%","11.1%","11739"
"Brian Anderson","Marlins","34.8%","65.9%","47.5%","58.7%","87.1%","74.9%","41.0%","62.7%","11.9%","18289"
"Jung Ho Kang","Pirates","34.8%","67.2%","48.4%","51.7%","77.8%","67.0%","42.0%","62.2%","16.0%","17182"
"Elvis Andrus","Rangers","34.9%","62.0%","46.4%","68.6%","90.9%","81.2%","42.2%","63.7%","8.7%","8709"
"Adam Duvall","Braves","34.9%","68.3%","48.7%","60.6%","82.6%","73.3%","41.1%","65.4%","13.0%","10950"
"Jedd Gyorko","- - -","34.9%","67.1%","47.6%","60.9%","87.0%","75.4%","39.3%","60.4%","11.7%","10816"
"Keston Hiura","Brewers","35.1%","73.5%","51.3%","48.7%","76.9%","65.8%","42.3%","62.6%","17.5%","20003"
"Charlie Tilson","White Sox","35.1%","65.5%","48.7%","60.9%","88.6%","77.6%","44.9%","67.5%","10.9%","12983"
"Gleyber Torres","Yankees","35.1%","76.3%","51.8%","60.3%","83.8%","74.4%","40.6%","61.1%","13.3%","16997"
"Christian Vazquez","Red Sox","35.2%","69.0%","49.9%","70.8%","88.4%","81.4%","43.5%","64.1%","9.3%","9774"
"Christin Stewart","Tigers","35.2%","68.9%","48.8%","61.2%","84.4%","74.4%","40.4%","61.5%","12.5%","17714"
"Michael Chavis","Red Sox","35.3%","75.8%","51.6%","47.1%","75.5%","63.9%","40.4%","61.5%","18.6%","17321"
"James McCann","White Sox","35.3%","68.8%","49.6%","56.9%","83.6%","72.7%","42.8%","60.9%","13.5%","12859"
"Gary Sanchez","Yankees","35.3%","59.2%","44.0%","57.8%","83.3%","70.2%","36.1%","55.8%","13.1%","11442"
"Travis d'Arnaud","- - -","35.4%","70.1%","50.3%","64.4%","82.0%","74.9%","43.1%","63.2%","12.6%","7739"
"Leonys Martin","Indians","35.4%","76.9%","53.2%","50.7%","79.8%","68.8%","42.8%","59.8%","16.6%","11846"
"Francisco Lindor","Indians","35.4%","73.7%","51.2%","75.4%","91.6%","85.0%","41.2%","57.6%","7.7%","12916"
"Yuli Gurriel","Astros","35.4%","69.3%","49.7%","78.0%","92.1%","86.3%","42.2%","64.9%","6.8%","19198"
"Stephen Piscotty","Athletics","35.4%","72.1%","50.9%","57.7%","82.6%","72.6%","42.3%","62.6%","13.9%","13367"
"Gordon Beckham","Tigers","35.5%","68.6%","49.7%","66.0%","79.0%","73.7%","43.0%","59.6%","13.1%","9015"
"C.J. Cron","Twins","35.5%","70.1%","50.2%","64.1%","84.7%","76.4%","42.5%","59.1%","11.9%","12546"
"Addison Russell","Cubs","35.5%","67.2%","48.5%","57.6%","82.3%","71.6%","41.0%","68.9%","13.8%","14106"
"Eric Hosmer","Padres","35.9%","72.8%","50.0%","58.1%","84.9%","73.0%","38.3%","57.9%","13.5%","3516"
"Marwin Gonzalez","Twins","35.9%","69.2%","49.9%","66.0%","86.1%","77.7%","42.0%","62.0%","11.1%","5497"
"Juan Lagares","Mets","36.0%","65.9%","48.5%","61.1%","90.0%","77.5%","41.8%","63.9%","10.9%","5384"
"Jake Marisnick","Astros","36.0%","74.3%","52.3%","56.3%","85.6%","74.0%","42.4%","60.7%","13.6%","11339"
"Brandon Drury","Blue Jays","36.1%","63.4%","47.3%","61.5%","84.9%","74.4%","41.1%","64.7%","12.1%","11615"
"Matt Adams","Nationals","36.1%","72.2%","50.1%","52.6%","81.7%","68.9%","38.8%","64.9%","15.6%","9393"
"Yonathan Daza","Rockies","36.2%","72.1%","50.8%","64.2%","89.2%","78.6%","40.7%","58.1%","10.8%","15794"
"Tim Locastro","Diamondbacks","36.3%","54.7%","44.2%","71.4%","87.9%","80.2%","43.0%","59.6%","8.7%","15124"
"Randal Grichuk","Blue Jays","36.4%","70.6%","50.2%","57.4%","87.2%","74.3%","40.4%","61.5%","12.9%","10243"
"Starling Marte","Pirates","36.4%","77.4%","53.3%","63.5%","85.8%","76.9%","41.2%","62.6%","12.3%","9241"
"Brandon Dixon","Tigers","36.4%","72.6%","51.9%","49.1%","78.6%","66.8%","42.7%","64.8%","17.2%","15214"
"Mike Zunino","Rays","36.5%","73.1%","51.3%","44.4%","77.8%","63.6%","40.4%","63.0%","18.7%","13265"
"Erik Gonzalez","Pirates","36.5%","79.7%","54.3%","50.0%","86.7%","72.1%","41.0%","69.2%","15.1%","13369"
"Yan Gomes","Nationals","36.6%","68.6%","49.6%","68.1%","83.1%","76.6%","40.8%","62.6%","11.6%","9627"
"Odubel Herrera","Phillies","36.7%","72.4%","51.8%","54.9%","86.5%","73.6%","42.2%","63.3%","13.7%","11476"
"Eloy Jimenez","White Sox","36.7%","71.6%","49.9%","56.5%","80.2%","69.4%","37.9%","66.9%","15.3%","17484"
"Maikel Franco","Phillies","36.8%","72.8%","51.5%","69.2%","87.8%","79.9%","40.9%","60.7%","10.3%","12179"
"Miguel Cabrera","Tigers","36.8%","68.8%","49.5%","65.9%","87.9%","78.1%","39.8%","62.7%","10.9%","1744"
"Dee Gordon","Mariners","36.8%","73.7%","54.2%","77.7%","89.5%","85.3%","47.2%","65.1%","8.0%","8203"
"Garrett Cooper","Marlins","37.0%","66.0%","48.4%","70.2%","86.5%","79.0%","39.5%","65.1%","10.2%","15279"
"Hunter Pence","Rangers","37.1%","75.0%","51.3%","61.8%","77.2%","70.3%","37.6%","64.6%","15.3%","8252"
"Carlos Gonzalez","- - -","37.1%","72.8%","50.6%","54.4%","77.0%","66.7%","37.6%","60.2%","16.9%","7287"
"David Peralta","Diamondbacks","37.1%","69.7%","50.4%","64.8%","87.1%","77.4%","40.7%","65.0%","11.4%","2136"
"Jean Segura","Phillies","37.2%","61.0%","47.0%","77.6%","94.3%","86.6%","41.4%","61.5%","6.3%","5933"
"Adeiny Hechavarria","- - -","37.2%","73.6%","53.6%","61.1%","87.0%","77.1%","45.0%","68.8%","12.2%","10459"
"Tyler O'Neill","Cardinals","37.2%","72.4%","51.1%","43.5%","74.4%","60.8%","39.6%","64.2%","20.0%","15711"
"Byron Buxton","Twins","37.2%","76.4%","53.9%","56.4%","83.6%","72.8%","42.7%","61.7%","14.6%","14161"
"Kevin Newman","Pirates","37.3%","69.4%","50.7%","77.2%","94.3%","87.0%","41.8%","63.8%","6.6%","17696"
"Jose Abreu","White Sox","37.3%","67.1%","49.5%","62.1%","89.2%","77.2%","41.0%","57.7%","11.3%","15676"
"Ryan Braun","Brewers","37.4%","72.7%","51.3%","59.9%","89.2%","76.3%","39.5%","61.4%","12.2%","3410"
"Willson Contreras","Cubs","37.4%","71.2%","49.9%","58.9%","79.4%","69.7%","36.9%","58.7%","15.1%","11609"
"Renato Nunez","Orioles","37.5%","67.7%","49.5%","61.5%","85.1%","74.3%","39.8%","59.9%","12.7%","14503"
"Jeff Mathis","Rangers","37.5%","69.2%","51.8%","53.9%","76.7%","67.6%","45.0%","71.7%","16.8%","3448"
"Melky Cabrera","Pirates","37.5%","72.8%","52.1%","76.3%","94.1%","86.6%","41.4%","63.5%","7.0%","4022"
"Wilson Ramos","Mets","37.5%","76.1%","53.9%","69.1%","89.5%","81.3%","42.4%","64.1%","10.1%","1433"
"Jose Peraza","Reds","37.6%","76.2%","54.0%","70.8%","95.0%","85.3%","42.5%","66.0%","7.9%","13593"
"Austin Hedges","Padres","37.6%","69.6%","50.7%","52.5%","80.5%","68.2%","40.8%","59.1%","16.1%","12976"
"Stephen Vogt","Giants","37.7%","71.8%","50.8%","65.5%","83.4%","75.2%","38.3%","55.7%","12.6%","5000"
"Joey Wendle","Rays","37.8%","59.6%","46.6%","71.3%","91.1%","81.6%","40.6%","61.2%","8.6%","13853"
"Richie Martin Jr.","Orioles","37.8%","71.0%","52.5%","62.3%","82.6%","74.4%","44.1%","68.3%","13.4%","17736"
"Kevin Kiermaier","Rays","37.9%","75.5%","54.5%","62.6%","86.1%","77.0%","44.2%","66.3%","12.6%","11038"
"Nolan Arenado","Rockies","37.9%","73.3%","51.4%","69.5%","89.3%","80.3%","38.3%","61.9%","10.1%","9777"
"Ozzie Albies","Braves","37.9%","81.4%","55.5%","67.4%","86.8%","78.9%","40.4%","64.1%","11.7%","16556"
"David Dahl","Rockies","37.9%","73.3%","52.1%","62.2%","79.2%","71.8%","40.1%","61.0%","14.7%","13744"
"Jacob Stallings","Pirates","38.0%","69.5%","50.7%","61.7%","87.9%","76.2%","40.4%","61.4%","12.1%","13723"
"Amed Rosario","Mets","38.1%","71.8%","51.7%","64.0%","88.2%","77.6%","40.3%","62.3%","11.6%","15518"
"Robinson Cano","Mets","38.2%","75.8%","53.4%","71.6%","90.9%","82.7%","40.3%","64.1%","9.3%","3269"
"Sam Travis","Red Sox","38.3%","72.5%","52.6%","70.5%","86.3%","79.6%","41.9%","60.5%","10.7%","16263"
"Nomar Mazara","Rangers","38.4%","69.4%","50.7%","66.2%","82.7%","75.1%","39.5%","59.5%","12.6%","14553"
"Leury Garcia","White Sox","38.5%","73.2%","53.9%","63.5%","86.6%","77.4%","44.3%","62.8%","12.2%","5913"
"Reese McGuire","Blue Jays","38.5%","70.0%","52.2%","62.5%","90.2%","78.6%","43.5%","68.6%","11.1%","15674"
"Bo Bichette","Blue Jays","38.6%","75.0%","53.3%","70.6%","81.1%","76.6%","40.5%","65.1%","12.5%","19612"
"Lourdes Gurriel Jr.","Blue Jays","38.6%","69.9%","50.7%","58.6%","78.3%","69.1%","38.6%","65.0%","15.7%","19238"
"Eduardo Nunez","Red Sox","38.6%","72.4%","53.0%","75.8%","89.1%","83.5%","42.6%","55.7%","8.7%","6848"
"Lewis Brinson","Marlins","38.7%","74.4%","52.6%","55.9%","81.0%","69.7%","38.8%","60.9%","15.9%","14352"
"Colin Moran","Pirates","39.0%","75.9%","53.6%","64.9%","86.9%","77.2%","39.5%","65.0%","12.2%","16909"
"Donovan Solano","Giants","39.0%","66.3%","50.6%","74.9%","89.0%","82.7%","42.4%","64.9%","8.7%","8623"
"Victor Reyes","Tigers","39.0%","68.2%","51.5%","74.5%","87.0%","81.6%","42.8%","58.6%","9.5%","15487"
"Austin Romine","Yankees","39.3%","78.7%","56.7%","67.0%","88.1%","80.0%","44.2%","67.9%","11.4%","5491"
"Rowdy Tellez","Blue Jays","39.3%","64.9%","49.0%","59.8%","81.1%","70.4%","37.7%","60.6%","14.5%","15679"
"Austin Dean","Marlins","39.5%","66.1%","49.8%","69.6%","89.5%","79.8%","38.8%","57.7%","10.0%","18288"
"Jay Bruce","- - -","39.6%","81.0%","56.3%","54.8%","82.8%","71.1%","40.3%","62.8%","16.3%","9892"
"Tyler Naquin","Indians","39.7%","75.1%","54.6%","67.7%","82.4%","76.2%","42.1%","67.3%","13.0%","13359"
"J.T. Riddle","Marlins","39.7%","69.5%","52.1%","53.6%","78.4%","67.3%","41.5%","63.3%","17.0%","17642"
"Hernan Perez","Brewers","39.8%","69.1%","52.5%","71.0%","79.9%","76.1%","43.3%","63.0%","12.6%","5751"
"Mike Brosseau","Rays","39.9%","70.9%","52.3%","69.0%","83.3%","76.8%","40.0%","58.5%","12.1%","19683"
"Avisail Garcia","Rays","40.0%","81.9%","56.4%","54.4%","80.6%","69.3%","39.1%","62.3%","17.3%","5760"
"Kyle Farmer","Reds","40.1%","65.5%","50.8%","62.0%","80.7%","72.1%","42.1%","59.9%","14.1%","14813"
"Anthony Santander","Orioles","40.2%","69.9%","51.8%","73.6%","88.1%","81.3%","39.1%","58.5%","9.7%","14551"
"Freddy Galvis","- - -","40.2%","73.2%","54.0%","63.4%","81.9%","73.8%","41.8%","61.3%","14.1%","6609"
"Rafael Devers","Red Sox","40.5%","76.2%","54.9%","71.9%","82.6%","77.9%","40.4%","61.1%","12.1%","17350"
"Cory Spangenberg","Brewers","40.6%","72.6%","54.2%","55.9%","77.0%","67.9%","42.3%","64.7%","17.4%","12294"
"Nick Williams","Phillies","40.7%","69.8%","53.0%","58.9%","84.3%","73.0%","42.2%","56.3%","14.3%","14330"
"Pablo Sandoval","Giants","40.8%","76.6%","54.7%","69.0%","80.5%","75.2%","38.8%","62.8%","13.5%","5409"
"Eduardo Escobar","Diamondbacks","40.8%","71.1%","52.5%","68.4%","85.0%","77.1%","38.6%","61.5%","12.0%","6153"
"Nicholas Castellanos","- - -","40.9%","76.3%","54.7%","58.5%","87.9%","74.5%","39.0%","61.9%","14.0%","11737"
"Jose Trevino","Rangers","40.9%","59.0%","48.6%","72.3%","86.0%","79.4%","42.8%","74.6%","10.0%","16725"
"Johan Camargo","Braves","41.0%","74.9%","54.6%","65.0%","86.6%","76.8%","40.0%","62.9%","12.6%","14950"
"Didi Gregorius","Yankees","41.1%","77.5%","55.3%","67.0%","89.7%","79.4%","39.0%","65.7%","11.4%","6012"
"Tomas Nido","Mets","41.2%","84.4%","59.2%","50.0%","76.8%","66.0%","41.8%","66.7%","20.2%","13755"
"Aristides Aquino","Reds","41.2%","83.0%","55.7%","54.8%","76.0%","65.7%","34.7%","62.2%","19.1%","15482"
"Albert Almora Jr.","Cubs","41.2%","67.9%","51.6%","64.7%","89.7%","77.5%","39.0%","64.5%","11.6%","14109"
"Austin Riley","Braves","41.3%","81.2%","56.3%","50.7%","73.7%","63.2%","37.6%","61.6%","20.7%","18360"
"Adam Jones","Diamondbacks","41.4%","72.9%","54.1%","59.4%","86.9%","74.3%","40.3%","62.1%","13.9%","6368"
"Yadier Molina","Cardinals","41.5%","75.9%","55.7%","76.3%","87.0%","82.4%","41.4%","69.7%","9.8%","7007"
"Josh Harrison","Tigers","41.6%","75.5%","57.2%","69.4%","80.3%","76.1%","46.1%","66.7%","13.7%","8202"
"Jeff McNeil","Mets","41.7%","85.0%","59.9%","71.5%","88.1%","81.4%","42.0%","64.2%","11.1%","15362"
"Giovanny Urshela","Yankees","41.8%","77.0%","56.5%","73.0%","84.6%","79.6%","41.8%","67.2%","11.5%","10681"
"Harold Ramirez","Marlins","41.9%","74.0%","53.9%","65.1%","87.4%","76.6%","37.4%","66.1%","12.6%","14387"
"Danny Santana","Rangers","41.9%","74.2%","55.6%","58.2%","81.8%","71.5%","42.3%","62.4%","15.8%","10322"
"Humberto Arteaga","Royals","42.1%","71.6%","53.7%","69.9%","86.8%","78.7%","39.5%","64.4%","11.4%","13595"
"Willi Castro","Tigers","42.2%","71.4%","53.8%","62.0%","78.3%","70.6%","39.6%","60.9%","15.8%","17338"
"Adalberto Mondesi","Royals","42.2%","80.0%","57.4%","45.2%","77.7%","63.4%","40.2%","65.0%","21.0%","13769"
"Charlie Culberson","Braves","42.3%","72.7%","54.9%","53.6%","81.5%","69.0%","41.5%","66.7%","17.1%","3298"
"Willians Astudillo","Twins","42.7%","83.3%","59.0%","84.8%","97.5%","92.0%","40.3%","64.7%","4.7%","15608"
"Harold Castro","Tigers","42.8%","68.9%","53.7%","67.5%","86.3%","77.5%","41.6%","63.7%","12.0%","14691"
"Jonathan Schoop","Twins","43.4%","80.8%","58.2%","54.6%","81.8%","69.6%","39.6%","62.5%","17.7%","11265"
"Raimel Tapia","Rockies","43.5%","79.9%","58.6%","67.0%","81.2%","75.0%","41.5%","66.4%","14.6%","14350"
"Javier Baez","Cubs","44.1%","74.3%","55.2%","54.2%","79.5%","66.7%","36.7%","65.8%","18.4%","12979"
"Marco Hernandez","Red Sox","44.5%","81.4%","59.4%","53.7%","76.6%","66.4%","40.3%","64.5%","20.0%","13154"
"Tim Anderson","White Sox","45.2%","77.5%","58.5%","61.5%","89.9%","77.0%","41.1%","62.0%","13.5%","15172"
